id          question_id text                                                                                                                                                                                                                                                             is_correct
----------- ----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------
1           1           Snapchat                                                                                                                                                                                                                                                         1
2           1           Instagram                                                                                                                                                                                                                                                        0
3           1           Whatsapp                                                                                                                                                                                                                                                         0
4           1           Twitter                                                                                                                                                                                                                                                          0
12          2           Alpha, Beta, Gamma                                                                                                                                                                                                                                               1
18          2           Eta, Kappa, Zeta                                                                                                                                                                                                                                                 0
20          2           Alpha, Theta, Iota                                                                                                                                                                                                                                               0
21          2           Eta, Beta, Lambda                                                                                                                                                                                                                                                0
22          3           Wireless Fidelity                                                                                                                                                                                                                                                1
23          3           Windows Firewall Interface                                                                                                                                                                                                                                       0
24          3           Wave Fidelity                                                                                                                                                                                                                                                    0
28          3           Wide-Frequency Internet                                                                                                                                                                                                                                          0
29          4           Fotosynthese                                                                                                                                                                                                                                                     1
30          4           Transpiratie                                                                                                                                                                                                                                                     0
31          4           De wet van de Glucose                                                                                                                                                                                                                                            0
32          4           Koolstofsynthese                                                                                                                                                                                                                                                 0
33          5           3,14159                                                                                                                                                                                                                                                          1
34          5           3,14149                                                                                                                                                                                                                                                          0
35          5           3,14141                                                                                                                                                                                                                                                          0
36          5           3,14671                                                                                                                                                                                                                                                          0
37          6           Christian Bale                                                                                                                                                                                                                                                   1
38          6           Taylor Swift                                                                                                                                                                                                                                                     0
39          6           Chris Hemsworth                                                                                                                                                                                                                                                  0
40          6           Bruce Wayne                                                                                                                                                                                                                                                      0
41          7           8 delen                                                                                                                                                                                                                                                          1
42          7           9 delen                                                                                                                                                                                                                                                          0
43          7           11 delen                                                                                                                                                                                                                                                         0
44          7           6 delen                                                                                                                                                                                                                                                          0
46          8           Kylo Ren                                                                                                                                                                                                                                                         1
49          8           Anakin Skywalker                                                                                                                                                                                                                                                 0
50          8           Luke Skywalker                                                                                                                                                                                                                                                   0
51          8           Lando Calrissian                                                                                                                                                                                                                                                 0
52          9           1928                                                                                                                                                                                                                                                             1
55          9           1919                                                                                                                                                                                                                                                             0
56          9           1911                                                                                                                                                                                                                                                             0
58          9           1934                                                                                                                                                                                                                                                             0
61          10          "When I came to you with those calculations, we thought we might start a chain-reaction that would destroy the world...I believe we did."                                                                                                                        1
64          10          "Now I am become Death, the destroyer of worlds."                                                                                                                                                                                                                0
66          10          "They won't fear it until they understand it. And they won't understand it until they've used it."                                                                                                                                                               0
69          10          “The world will remember this day.“                                                                                                                                                                                                                              0
70          11          1933                                                                                                                                                                                                                                                             1
71          11          1939                                                                                                                                                                                                                                                             0
72          11          1938                                                                                                                                                                                                                                                             0
73          11          1919                                                                                                                                                                                                                                                             0
74          12          1953                                                                                                                                                                                                                                                             1
75          12          1949                                                                                                                                                                                                                                                             0
76          12          1961                                                                                                                                                                                                                                                             0
77          12          1958                                                                                                                                                                                                                                                             0
78          13          2013                                                                                                                                                                                                                                                             1
79          13          2009                                                                                                                                                                                                                                                             0
80          13          2007                                                                                                                                                                                                                                                             0
81          13          2015                                                                                                                                                                                                                                                             0
82          14          West-Indische Compagnie                                                                                                                                                                                                                                          1
83          14          Wereldhandel Import Comité                                                                                                                                                                                                                                       0
85          14          Westelijke Initiatief Commissie                                                                                                                                                                                                                                  0
86          14          Wetenschappelijk Instituut Cartografie                                                                                                                                                                                                                           0
87          15          1672                                                                                                                                                                                                                                                             1
88          15          1666                                                                                                                                                                                                                                                             0
89          15          1772                                                                                                                                                                                                                                                             0
90          15          1568                                                                                                                                                                                                                                                             0
91          16          7 dwergen                                                                                                                                                                                                                                                        1
92          16          8 dwergen                                                                                                                                                                                                                                                        0
93          16          10 dwergen                                                                                                                                                                                                                                                       0
94          16          9 dwergen                                                                                                                                                                                                                                                        0
95          17          20 matrassen                                                                                                                                                                                                                                                     1
96          17          15 matrassen                                                                                                                                                                                                                                                     0
97          17          21 matrassen                                                                                                                                                                                                                                                     0
98          17          23 matrassen                                                                                                                                                                                                                                                     0
99          18          6 broers                                                                                                                                                                                                                                                         1
101         18          4 broers                                                                                                                                                                                                                                                         0
102         18          2 broers                                                                                                                                                                                                                                                         0
103         18          7 broers                                                                                                                                                                                                                                                         0
104         19          Een bloem                                                                                                                                                                                                                                                        1
105         19          Een waterlelie                                                                                                                                                                                                                                                   0
106         19          Indische andesiet                                                                                                                                                                                                                                                0
107         19          Een theekopje                                                                                                                                                                                                                                                    0
108         20          Een roos                                                                                                                                                                                                                                                         1
109         20          Een goudstaaf                                                                                                                                                                                                                                                    0
111         20          Het beest                                                                                                                                                                                                                                                        0
112         20          Belle                                                                                                                                                                                                                                                            0
113         21          2013                                                                                                                                                                                                                                                             1
114         21          2007                                                                                                                                                                                                                                                             0
116         21          2010                                                                                                                                                                                                                                                             0
117         21          2012                                                                                                                                                                                                                                                             0
118         22          Wii U                                                                                                                                                                                                                                                            1
119         22          Nintendo 3DS                                                                                                                                                                                                                                                     0
120         22          Nintendo Switch                                                                                                                                                                                                                                                  0
122         22          Nintendo DSi XL                                                                                                                                                                                                                                                  0
124         23          Tomb Raider                                                                                                                                                                                                                                                      1
125         23          Red Dead Redemption                                                                                                                                                                                                                                              0
126         23          Uncharted                                                                                                                                                                                                                                                        0
127         23          ARK: Survival Evolved                                                                                                                                                                                                                                            0
128         24          Pong                                                                                                                                                                                                                                                             1
129         24          Space Invaders                                                                                                                                                                                                                                                   0
130         24          Pac-Man                                                                                                                                                                                                                                                          0
131         24          Asteroids                                                                                                                                                                                                                                                        0
132         25          Astro Bot                                                                                                                                                                                                                                                        1
133         25          Crimson Desert                                                                                                                                                                                                                                                   0
134         25          Squid Game: Unleashed                                                                                                                                                                                                                                            0
135         25          The Last of Us Part II Remastered                                                                                                                                                                                                                                0
136         26          COVID-19                                                                                                                                                                                                                                                         1
137         26          Corona                                                                                                                                                                                                                                                           0
139         26          Hoax                                                                                                                                                                                                                                                             0
140         26          SARS-CoV-1                                                                                                                                                                                                                                                       0
141         27          Isaac Newton                                                                                                                                                                                                                                                     1
142         27          Benjamin Franklin                                                                                                                                                                                                                                                0
143         27          Nikola Tesla                                                                                                                                                                                                                                                     0
144         27          George Washington                                                                                                                                                                                                                                                0
145         28          Een lichtjaar                                                                                                                                                                                                                                                    1
146         28          Astronomische eenheid                                                                                                                                                                                                                                            0
149         28          Een parsec                                                                                                                                                                                                                                                       0
150         28          Een radiaal                                                                                                                                                                                                                                                      0
151         29          De zuurtegraad                                                                                                                                                                                                                                                   1
153         29          Een hydro-elektrische waarde                                                                                                                                                                                                                                     0
154         29          Fosfaat-index                                                                                                                                                                                                                                                    0
155         29          Polariteitswaarde                                                                                                                                                                                                                                                0
157         30          Hermafrodiet                                                                                                                                                                                                                                                     1
158         30          Intersex                                                                                                                                                                                                                                                         0
161         30          Duogametisch                                                                                                                                                                                                                                                     0
163         30          Hybridogeen                                                                                                                                                                                                                                                      0
164         31          Rembrandt van Rijn                                                                                                                                                                                                                                               1
165         31          Vincent van Gogh                                                                                                                                                                                                                                                 0
166         31          Picasso                                                                                                                                                                                                                                                          0
168         31          Leonardo da Vinci                                                                                                                                                                                                                                                0
169         32          88 miljoen euro                                                                                                                                                                                                                                                  1
170         32          230 miljoen euro                                                                                                                                                                                                                                                 0
172         32          50,4 miljoen euro                                                                                                                                                                                                                                                0
173         32          126,7 miljoen euro                                                                                                                                                                                                                                               0
174         33          William Shakespeare                                                                                                                                                                                                                                              1
175         33          Jane Austen                                                                                                                                                                                                                                                      0
177         33          J.R.R. Tolkien                                                                                                                                                                                                                                                   0
178         33          Charles Dickens                                                                                                                                                                                                                                                  0
180         34          Het gouden ei                                                                                                                                                                                                                                                    1
182         34          De hemel is altijd paars                                                                                                                                                                                                                                         0
183         34          Muidhond                                                                                                                                                                                                                                                         0
184         34          De belofte van Pisa                                                                                                                                                                                                                                              0
185         35          The Handmaid's Tale                                                                                                                                                                                                                                              1
186         35          Scarlet Nation                                                                                                                                                                                                                                                   0
187         35          The Testaments                                                                                                                                                                                                                                                   0
188         35          Oryx and the Crake                                                                                                                                                                                                                                               0
189         36          Hongarije                                                                                                                                                                                                                                                        1
190         36          Filipijnen                                                                                                                                                                                                                                                       0
191         36          Slowaijke                                                                                                                                                                                                                                                        0
192         36          Rusland                                                                                                                                                                                                                                                          0
193         37          Rijst                                                                                                                                                                                                                                                            1
194         37          Plum extract                                                                                                                                                                                                                                                     0
195         37          Tarwe                                                                                                                                                                                                                                                            0
198         37          Zoete aardappel                                                                                                                                                                                                                                                  0
199         38          Banaan (c.a. 88,7 kcal)                                                                                                                                                                                                                                          1
200         38          Appel (c.a. 52,1 kcal)                                                                                                                                                                                                                                           0
